frame.number,frame.time,wlan.sa,wlan.seq,frame.len,radiotap.dbm_antsignal
2481,"Jun 12, 2025 21:03:48.217685449 CEST",3a:07:16:cb:a7:f4,1913,384,-64
2493,"Jun 12, 2025 21:03:48.415441882 CEST",f2:42:89:7e:73:bd,1557,458,-66
2753,"Jun 12, 2025 21:03:53.630109473 CEST",40:ee:dd:0e:38:54,498,305,-66
2779,"Jun 12, 2025 21:03:54.343089525 CEST",c4:ea:1d:53:75:c3,250,243,-64
1720,"Jun 12, 2025 21:03:29.662913994 CEST",3a:07:16:cb:a7:f4,1762,384,-64
505,"Jun 12, 2025 21:02:53.309190310 CEST",c4:ea:1d:53:75:c3,3586,243,-70
872,"Jun 12, 2025 21:03:05.611604326 CEST",f2:42:89:7e:73:bd,1118,458,-68
2400,"Jun 12, 2025 21:03:46.366333542 CEST",f2:42:89:7e:73:bd,1534,458,-65
2912,"Jun 12, 2025 21:03:57.559806749 CEST",40:ee:dd:0e:38:54,537,305,-66
343,"Jun 12, 2025 21:02:47.777928339 CEST",c4:ea:1d:53:75:c3,3521,243,-61
2939,"Jun 12, 2025 21:03:58.331086812 CEST",c4:ea:1d:53:75:c3,297,243,-63
2087,"Jun 12, 2025 21:03:40.529586006 CEST",f2:42:89:7e:73:bd,1475,458,-69
466,"Jun 12, 2025 21:02:52.299748467 CEST",f2:42:89:7e:73:bd,973,458,-66
1154,"Jun 12, 2025 21:03:14.898024478 CEST",40:ee:dd:0e:38:54,96,305,-67
808,"Jun 12, 2025 21:03:03.342635276 CEST",c4:ea:1d:53:75:c3,3709,243,-62
3309,"Jun 12, 2025 21:04:06.538884046 CEST",f2:42:89:7e:73:bd,1741,458,-63
3154,"Jun 12, 2025 21:04:03.671732504 CEST",f2:42:89:7e:73:bd,1712,458,-64
232,"Jun 12, 2025 21:02:44.588400956 CEST",40:ee:dd:0e:38:54,3887,305,-67
2375,"Jun 12, 2025 21:03:45.838326873 CEST",c4:ea:1d:53:75:c3,147,243,-61
809,"Jun 12, 2025 21:03:03.354104123 CEST",40:ee:dd:0e:38:54,4076,305,-67
93,"Jun 12, 2025 21:02:39.896801695 CEST",3a:07:16:cb:a7:f4,1357,384,-65
3246,"Jun 12, 2025 21:04:05.002872030 CEST",f2:42:89:7e:73:bd,1726,458,-65
992,"Jun 12, 2025 21:03:09.679670453 CEST",40:ee:dd:0e:38:54,44,305,-66
2330,"Jun 12, 2025 21:03:44.712256651 CEST",c4:ea:1d:53:75:c3,136,243,-64
2771,"Jun 12, 2025 21:03:54.115909099 CEST",3a:07:16:cb:a7:f4,1961,384,-64
2411,"Jun 12, 2025 21:03:46.806403191 CEST",40:ee:dd:0e:38:54,428,305,-66
1447,"Jun 12, 2025 21:03:22.904548701 CEST",3a:07:16:cb:a7:f4,1707,384,-63
3097,"Jun 12, 2025 21:04:01.930905127 CEST",f2:42:89:7e:73:bd,1695,458,-62
473,"Jun 12, 2025 21:02:52.415803588 CEST",40:ee:dd:0e:38:54,3966,305,-67
2893,"Jun 12, 2025 21:03:57.065013381 CEST",3a:07:16:cb:a7:f4,1985,384,-63
