frame.number,frame.time,wlan.sa,wlan.seq,frame.len,radiotap.dbm_antsignal,is_synthetic
1335,"Apr 13, 2021 15:23:26.781769024 CEST",3a:07:16:cb:a7:f4,1675,384,-76.0,
222,"Apr 13, 2021 15:22:38.738630507 CEST",f2:42:89:7e:73:bd,293,458,-64.0,
1203,"Apr 13, 2021 15:23:21.234170548 CEST",f2:42:89:7e:73:bd,720,458,-66.0,
63,"Apr 13, 2021 15:22:31.117425045 CEST",3a:07:16:cb:a7:f4,1222,384,-76.0,
-1,dummy,c4:ea:1d:53:75:c3,-1,-1,-100.0,True
2027,"Apr 13, 2021 15:23:55.844996339 CEST",f2:42:89:7e:73:bd,1059,458,-68.0,
1318,"Apr 13, 2021 15:23:26.149297046 CEST",f2:42:89:7e:73:bd,768,458,-67.0,
1385,"Apr 13, 2021 15:23:28.870784115 CEST",3a:07:16:cb:a7:f4,1692,384,-76.0,
294,"Apr 13, 2021 15:22:41.708190253 CEST",f2:42:89:7e:73:bd,322,458,-65.0,
1036,"Apr 13, 2021 15:23:15.476885212 CEST",3a:07:16:cb:a7:f4,1583,384,-76.0,
1578,"Apr 13, 2021 15:23:36.698065573 CEST",f2:42:89:7e:73:bd,872,458,-66.0,
185,"Apr 13, 2021 15:22:37.305038009 CEST",f2:42:89:7e:73:bd,279,458,-65.0,
1770,"Apr 13, 2021 15:23:45.213680304 CEST",3a:07:16:cb:a7:f4,1825,384,-77.0,
1176,"Apr 13, 2021 15:23:20.414962743 CEST",f2:42:89:7e:73:bd,712,458,-67.0,
1102,"Apr 13, 2021 15:23:17.650190840 CEST",f2:42:89:7e:73:bd,685,458,-66.0,
1975,"Apr 13, 2021 15:23:53.489898739 CEST",f2:42:89:7e:73:bd,1036,459,-68.0,
1201,"Apr 13, 2021 15:23:21.132910605 CEST",f2:42:89:7e:73:bd,719,458,-67.0,
93,"Apr 13, 2021 15:22:32.697094219 CEST",f2:42:89:7e:73:bd,234,458,-65.0,
1583,"Apr 13, 2021 15:23:36.902901258 CEST",f2:42:89:7e:73:bd,874,458,-67.0,
