frame.number,frame.time,wlan.sa,wlan.seq,frame.len,radiotap.dbm_antsignal
3,"Jun 12, 2025 21:04:47.395976210 CEST",f2:42:89:7e:73:bd,2158,458,-67.0
4,"Jun 12, 2025 21:04:47.498380084 CEST",f2:42:89:7e:73:bd,2159,458,-68.0
7,"Jun 12, 2025 21:04:47.600778580 CEST",f2:42:89:7e:73:bd,2160,458,-68.0
11,"Jun 12, 2025 21:04:47.703154588 CEST",f2:42:89:7e:73:bd,2162,458,-69.0
13,"Jun 12, 2025 21:04:47.805587167 CEST",f2:42:89:7e:73:bd,2163,458,-69.0
15,"Jun 12, 2025 21:04:47.907966666 CEST",f2:42:89:7e:73:bd,2164,458,-69.0
17,"Jun 12, 2025 21:04:48.010366978 CEST",f2:42:89:7e:73:bd,2165,458,-68.0
20,"Jun 12, 2025 21:04:48.112770294 CEST",f2:42:89:7e:73:bd,2166,458,-68.0
23,"Jun 12, 2025 21:04:48.215162714 CEST",f2:42:89:7e:73:bd,2167,458,-68.0
25,"Jun 12, 2025 21:04:48.317547731 CEST",f2:42:89:7e:73:bd,2168,458,-69.0
29,"Jun 12, 2025 21:04:48.419956075 CEST",f2:42:89:7e:73:bd,2169,458,-71.0
31,"Jun 12, 2025 21:04:48.522369936 CEST",f2:42:89:7e:73:bd,2170,458,-70.0
40,"Jun 12, 2025 21:04:48.829550479 CEST",f2:42:89:7e:73:bd,2173,458,-67.0
44,"Jun 12, 2025 21:04:48.931968461 CEST",f2:42:89:7e:73:bd,2174,458,-68.0
48,"Jun 12, 2025 21:04:49.034372126 CEST",f2:42:89:7e:73:bd,2175,458,-67.0
51,"Jun 12, 2025 21:04:49.136743594 CEST",f2:42:89:7e:73:bd,2176,458,-68.0
54,"Jun 12, 2025 21:04:49.239135804 CEST",f2:42:89:7e:73:bd,2177,458,-67.0
58,"Jun 12, 2025 21:04:49.341535488 CEST",f2:42:89:7e:73:bd,2178,458,-65.0
61,"Jun 12, 2025 21:04:49.443945089 CEST",f2:42:89:7e:73:bd,2179,458,-66.0
64,"Jun 12, 2025 21:04:49.546334436 CEST",f2:42:89:7e:73:bd,2180,458,-65.0
67,"Jun 12, 2025 21:04:49.648736634 CEST",f2:42:89:7e:73:bd,2181,458,-66.0
