frame.number,frame.time,wlan.sa,wlan.seq,frame.len,radiotap.dbm_antsignal,is_synthetic
9,"Jun  5, 2025 00:31:53.782358474 CEST",f2:42:89:7e:73:bd,261,458,-69.0,
12,"Jun  5, 2025 00:31:53.884732596 CEST",f2:42:89:7e:73:bd,262,458,-69.0,
28,"Jun  5, 2025 00:31:54.089564649 CEST",f2:42:89:7e:73:bd,264,458,-70.0,
46,"Jun  5, 2025 00:31:54.192899507 CEST",f2:42:89:7e:73:bd,265,458,-70.0,
54,"Jun  5, 2025 00:31:54.294653997 CEST",f2:42:89:7e:73:bd,266,458,-69.0,
58,"Jun  5, 2025 00:31:54.396900170 CEST",f2:42:89:7e:73:bd,267,458,-70.0,
65,"Jun  5, 2025 00:31:54.501472127 CEST",f2:42:89:7e:73:bd,268,458,-70.0,
67,"Jun  5, 2025 00:31:54.601749613 CEST",f2:42:89:7e:73:bd,269,458,-70.0,
69,"Jun  5, 2025 00:31:54.706026281 CEST",f2:42:89:7e:73:bd,270,458,-69.0,
79,"Jun  5, 2025 00:31:54.807596949 CEST",f2:42:89:7e:73:bd,271,458,-70.0,
83,"Jun  5, 2025 00:31:54.909815674 CEST",f2:42:89:7e:73:bd,272,458,-68.0,
93,"Jun  5, 2025 00:31:55.011116615 CEST",f2:42:89:7e:73:bd,273,458,-70.0,
103,"Jun  5, 2025 00:31:55.113527333 CEST",f2:42:89:7e:73:bd,275,458,-70.0,
110,"Jun  5, 2025 00:31:55.215922407 CEST",f2:42:89:7e:73:bd,276,458,-69.0,
113,"Jun  5, 2025 00:31:55.318332358 CEST",f2:42:89:7e:73:bd,277,458,-69.0,
120,"Jun  5, 2025 00:31:55.424155172 CEST",f2:42:89:7e:73:bd,278,459,-68.0,
130,"Jun  5, 2025 00:31:55.523114474 CEST",f2:42:89:7e:73:bd,279,458,-69.0,
137,"Jun  5, 2025 00:31:55.626474825 CEST",f2:42:89:7e:73:bd,280,458,-68.0,
139,"Jun  5, 2025 00:31:55.727913422 CEST",f2:42:89:7e:73:bd,281,458,-69.0,
185,"Jun  5, 2025 00:31:56.137504963 CEST",f2:42:89:7e:73:bd,286,458,-69.0,
215,"Jun  5, 2025 00:31:56.342390445 CEST",f2:42:89:7e:73:bd,288,458,-68.0,
226,"Jun  5, 2025 00:31:56.444713722 CEST",f2:42:89:7e:73:bd,289,458,-69.0,
234,"Jun  5, 2025 00:31:56.548062758 CEST",f2:42:89:7e:73:bd,290,458,-67.0,
237,"Jun  5, 2025 00:31:56.651738512 CEST",f2:42:89:7e:73:bd,291,458,-68.0,
239,"Jun  5, 2025 00:31:56.751975770 CEST",f2:42:89:7e:73:bd,292,458,-69.0,
252,"Jun  5, 2025 00:31:56.854304774 CEST",f2:42:89:7e:73:bd,293,458,-68.0,
262,"Jun  5, 2025 00:31:56.958458382 CEST",f2:42:89:7e:73:bd,294,458,-68.0,
270,"Jun  5, 2025 00:31:57.059103513 CEST",f2:42:89:7e:73:bd,295,458,-68.0,
281,"Jun  5, 2025 00:31:57.161525336 CEST",f2:42:89:7e:73:bd,296,459,-68.0,
285,"Jun  5, 2025 00:31:57.263914404 CEST",f2:42:89:7e:73:bd,297,458,-68.0,
299,"Jun  5, 2025 00:31:57.366859408 CEST",f2:42:89:7e:73:bd,298,458,-68.0,
305,"Jun  5, 2025 00:31:57.470471397 CEST",f2:42:89:7e:73:bd,299,458,-69.0,
324,"Jun  5, 2025 00:31:57.571084890 CEST",f2:42:89:7e:73:bd,300,458,-69.0,
330,"Jun  5, 2025 00:31:57.673506783 CEST",f2:42:89:7e:73:bd,301,458,-69.0,
335,"Jun  5, 2025 00:31:57.775886003 CEST",f2:42:89:7e:73:bd,302,458,-68.0,
342,"Jun  5, 2025 00:31:57.879194182 CEST",f2:42:89:7e:73:bd,303,458,-69.0,
346,"Jun  5, 2025 00:31:57.980686418 CEST",f2:42:89:7e:73:bd,304,458,-68.0,
348,"Jun  5, 2025 00:31:58.083091759 CEST",f2:42:89:7e:73:bd,305,458,-69.0,
353,"Jun  5, 2025 00:31:58.189064662 CEST",f2:42:89:7e:73:bd,306,458,-69.0,
360,"Jun  5, 2025 00:31:58.287875552 CEST",f2:42:89:7e:73:bd,307,458,-68.0,
368,"Jun  5, 2025 00:31:58.390292277 CEST",f2:42:89:7e:73:bd,308,458,-69.0,
376,"Jun  5, 2025 00:31:58.492679040 CEST",f2:42:89:7e:73:bd,309,458,-68.0,
387,"Jun  5, 2025 00:31:58.595079072 CEST",f2:42:89:7e:73:bd,310,458,-69.0,
389,"Jun  5, 2025 00:31:58.703398922 CEST",f2:42:89:7e:73:bd,311,458,-68.0,
404,"Jun  5, 2025 00:31:58.799901697 CEST",f2:42:89:7e:73:bd,312,458,-67.0,
408,"Jun  5, 2025 00:31:58.902286295 CEST",f2:42:89:7e:73:bd,313,458,-69.0,
414,"Jun  5, 2025 00:31:59.005723122 CEST",f2:42:89:7e:73:bd,314,458,-69.0,
421,"Jun  5, 2025 00:31:59.110958361 CEST",f2:42:89:7e:73:bd,315,458,-69.0,
444,"Jun  5, 2025 00:31:59.312247855 CEST",f2:42:89:7e:73:bd,317,458,-69.0,
454,"Jun  5, 2025 00:31:59.414576510 CEST",f2:42:89:7e:73:bd,318,458,-69.0,
464,"Jun  5, 2025 00:31:59.516948886 CEST",f2:42:89:7e:73:bd,319,458,-69.0,
475,"Jun  5, 2025 00:31:59.621791548 CEST",f2:42:89:7e:73:bd,320,458,-68.0,
479,"Jun  5, 2025 00:31:59.721543827 CEST",f2:42:89:7e:73:bd,321,458,-69.0,
485,"Jun  5, 2025 00:31:59.823878768 CEST",f2:42:89:7e:73:bd,322,458,-69.0,
488,"Jun  5, 2025 00:32:00.028826758 CEST",f2:42:89:7e:73:bd,324,458,-69.0,
491,"Jun  5, 2025 00:32:00.131068460 CEST",f2:42:89:7e:73:bd,325,458,-68.0,
495,"Jun  5, 2025 00:32:00.233993351 CEST",f2:42:89:7e:73:bd,326,458,-69.0,
498,"Jun  5, 2025 00:32:00.338065314 CEST",f2:42:89:7e:73:bd,327,458,-69.0,
499,"Jun  5, 2025 00:32:00.438270654 CEST",f2:42:89:7e:73:bd,328,458,-69.0,
503,"Jun  5, 2025 00:32:00.540739341 CEST",f2:42:89:7e:73:bd,329,458,-68.0,
509,"Jun  5, 2025 00:32:00.745514334 CEST",f2:42:89:7e:73:bd,331,458,-69.0,
523,"Jun  5, 2025 00:32:00.847871065 CEST",f2:42:89:7e:73:bd,332,458,-69.0,
527,"Jun  5, 2025 00:32:00.950413504 CEST",f2:42:89:7e:73:bd,333,458,-69.0,
539,"Jun  5, 2025 00:32:01.052661563 CEST",f2:42:89:7e:73:bd,334,458,-69.0,
542,"Jun  5, 2025 00:32:01.155063760 CEST",f2:42:89:7e:73:bd,335,458,-68.0,
569,"Jun  5, 2025 00:32:01.257554028 CEST",f2:42:89:7e:73:bd,336,458,-69.0,
585,"Jun  5, 2025 00:32:01.359849020 CEST",f2:42:89:7e:73:bd,337,458,-69.0,
592,"Jun  5, 2025 00:32:01.462263999 CEST",f2:42:89:7e:73:bd,338,458,-69.0,
602,"Jun  5, 2025 00:32:01.577955177 CEST",f2:42:89:7e:73:bd,339,458,-68.0,
604,"Jun  5, 2025 00:32:01.669276427 CEST",f2:42:89:7e:73:bd,340,458,-69.0,
606,"Jun  5, 2025 00:32:01.770042872 CEST",f2:42:89:7e:73:bd,341,458,-69.0,
608,"Jun  5, 2025 00:32:01.871838359 CEST",f2:42:89:7e:73:bd,342,458,-68.0,
615,"Jun  5, 2025 00:32:01.975657217 CEST",f2:42:89:7e:73:bd,343,458,-68.0,
629,"Jun  5, 2025 00:32:02.076905777 CEST",f2:42:89:7e:73:bd,344,458,-69.0,
635,"Jun  5, 2025 00:32:02.180139924 CEST",f2:42:89:7e:73:bd,345,458,-69.0,
659,"Jun  5, 2025 00:32:02.281733151 CEST",f2:42:89:7e:73:bd,346,458,-68.0,
686,"Jun  5, 2025 00:32:02.486279273 CEST",f2:42:89:7e:73:bd,349,458,-69.0,
706,"Jun  5, 2025 00:32:02.591074723 CEST",f2:42:89:7e:73:bd,350,458,-69.0,
710,"Jun  5, 2025 00:32:02.691041695 CEST",f2:42:89:7e:73:bd,351,458,-68.0,
726,"Jun  5, 2025 00:32:02.795860052 CEST",f2:42:89:7e:73:bd,352,458,-68.0,
732,"Jun  5, 2025 00:32:02.895861525 CEST",f2:42:89:7e:73:bd,353,458,-69.0,
745,"Jun  5, 2025 00:32:03.000098454 CEST",f2:42:89:7e:73:bd,354,458,-68.0,
750,"Jun  5, 2025 00:32:03.100629394 CEST",f2:42:89:7e:73:bd,355,458,-68.0,
761,"Jun  5, 2025 00:32:03.203520202 CEST",f2:42:89:7e:73:bd,356,458,-69.0,
774,"Jun  5, 2025 00:32:03.308555975 CEST",f2:42:89:7e:73:bd,357,458,-69.0,
782,"Jun  5, 2025 00:32:03.411005246 CEST",f2:42:89:7e:73:bd,358,458,-69.0,
788,"Jun  5, 2025 00:32:03.512642123 CEST",f2:42:89:7e:73:bd,359,458,-68.0,
793,"Jun  5, 2025 00:32:03.612613355 CEST",f2:42:89:7e:73:bd,360,458,-69.0,
796,"Jun  5, 2025 00:32:03.715038671 CEST",f2:42:89:7e:73:bd,361,458,-68.0,
800,"Jun  5, 2025 00:32:03.817634189 CEST",f2:42:89:7e:73:bd,362,458,-70.0,
805,"Jun  5, 2025 00:32:03.919811708 CEST",f2:42:89:7e:73:bd,364,458,-67.0,
811,"Jun  5, 2025 00:32:04.023121843 CEST",f2:42:89:7e:73:bd,365,458,-68.0,
819,"Jun  5, 2025 00:32:04.125641374 CEST",f2:42:89:7e:73:bd,366,458,-69.0,
830,"Jun  5, 2025 00:32:04.227021864 CEST",f2:42:89:7e:73:bd,367,458,-67.0,
845,"Jun  5, 2025 00:32:04.329405833 CEST",f2:42:89:7e:73:bd,368,458,-68.0,
849,"Jun  5, 2025 00:32:04.431809079 CEST",f2:42:89:7e:73:bd,369,458,-68.0,
856,"Jun  5, 2025 00:32:04.534230064 CEST",f2:42:89:7e:73:bd,370,458,-68.0,
858,"Jun  5, 2025 00:32:04.636613754 CEST",f2:42:89:7e:73:bd,371,459,-67.0,
862,"Jun  5, 2025 00:32:04.739004568 CEST",f2:42:89:7e:73:bd,372,458,-69.0,
873,"Jun  5, 2025 00:32:04.841660359 CEST",f2:42:89:7e:73:bd,373,458,-70.0,
883,"Jun  5, 2025 00:32:05.046198171 CEST",f2:42:89:7e:73:bd,375,458,-69.0,
