frame.number,frame.time,wlan.sa,wlan.seq,frame.len,radiotap.dbm_antsignal
"1","Apr 13, 2021 15:30:57.503212524 CEST","3a:07:16:cb:a7:f4","1247","384","-78"
"2","Apr 13, 2021 15:30:57.515547263 CEST","40:ee:dd:0e:38:54","3301","305","-80"
"3","Apr 13, 2021 15:30:57.523377030 CEST","f2:42:89:7e:73:bd","1236","458","-68"
"4","Apr 13, 2021 15:30:57.570907795 CEST","26:59:43:64:4c:4a","2523","453","-84"
"5","Apr 13, 2021 15:30:57.673288761 CEST","26:59:43:64:4c:4a","2524","453","-84"
"6","Apr 13, 2021 15:30:57.728165432 CEST","f2:42:89:7e:73:bd","1238","458","-67"
"7","Apr 13, 2021 15:30:57.748980439 CEST","3a:07:16:cb:a7:f4","1249","384","-79"
"8","Apr 13, 2021 15:30:57.775679435 CEST","26:59:43:64:4c:4a","2525","453","-84"
"9","Apr 13, 2021 15:30:57.830558131 CEST","f2:42:89:7e:73:bd","1239","458","-68"
"10","Apr 13, 2021 15:30:57.878083518 CEST","26:59:43:64:4c:4a","2526","453","-84"
"11","Apr 13, 2021 15:30:57.932944824 CEST","f2:42:89:7e:73:bd","1240","458","-67"
"12","Apr 13, 2021 15:30:57.980506110 CEST","26:59:43:64:4c:4a","2527","453","-84"
"13","Apr 13, 2021 15:30:57.994741859 CEST","3a:07:16:cb:a7:f4","1251","384","-77"
"14","Apr 13, 2021 15:30:58.017336282 CEST","40:ee:dd:0e:38:54","3306","305","-79"
"15","Apr 13, 2021 15:30:58.030098939 CEST","c4:ea:1d:53:75:c3","39","243","-88"
"16","Apr 13, 2021 15:30:58.035347162 CEST","f2:42:89:7e:73:bd","1241","458","-67"
"17","Apr 13, 2021 15:30:58.082901184 CEST","26:59:43:64:4c:4a","2528","453","-84"
"19","Apr 13, 2021 15:30:58.117617610 CEST","3a:07:16:cb:a7:f4","1252","384","-79"
"20","Apr 13, 2021 15:30:58.119993122 CEST","40:ee:dd:0e:38:54","3307","305","-80"
"21","Apr 13, 2021 15:30:58.137753341 CEST","f2:42:89:7e:73:bd","1242","458","-67"
"22","Apr 13, 2021 15:30:58.185298144 CEST","26:59:43:64:4c:4a","2529","453","-84"
"23","Apr 13, 2021 15:30:58.240151977 CEST","f2:42:89:7e:73:bd","1243","458","-68"
"24","Apr 13, 2021 15:30:58.287702717 CEST","26:59:43:64:4c:4a","2530","453","-84"
"25","Apr 13, 2021 15:30:58.342563813 CEST","f2:42:89:7e:73:bd","1244","458","-67"
"26","Apr 13, 2021 15:30:58.363380427 CEST","3a:07:16:cb:a7:f4","1254","384","-78"
"27","Apr 13, 2021 15:30:58.390112318 CEST","26:59:43:64:4c:4a","2531","453","-84"
"28","Apr 13, 2021 15:30:58.445028868 CEST","f2:42:89:7e:73:bd","1245","458","-67"
"29","Apr 13, 2021 15:30:58.492516262 CEST","26:59:43:64:4c:4a","2532","453","-84"
"30","Apr 13, 2021 15:30:58.547348723 CEST","f2:42:89:7e:73:bd","1246","458","-67"
"31","Apr 13, 2021 15:30:58.594905609 CEST","26:59:43:64:4c:4a","2533","453","-84"
"32","Apr 13, 2021 15:30:58.609128158 CEST","3a:07:16:cb:a7:f4","1256","384","-78"
"33","Apr 13, 2021 15:30:58.619415150 CEST","40:ee:dd:0e:38:54","3312","305","-80"
"34","Apr 13, 2021 15:30:58.649765308 CEST","f2:42:89:7e:73:bd","1247","458","-67"
"35","Apr 13, 2021 15:30:58.697299565 CEST","26:59:43:64:4c:4a","2534","453","-83"
"36","Apr 13, 2021 15:30:58.732016410 CEST","3a:07:16:cb:a7:f4","1257","384","-79"
"37","Apr 13, 2021 15:30:58.752146903 CEST","f2:42:89:7e:73:bd","1248","458","-67"
"38","Apr 13, 2021 15:30:58.799704697 CEST","26:59:43:64:4c:4a","2535","453","-85"
"39","Apr 13, 2021 15:30:58.855814905 CEST","f2:42:89:7e:73:bd","1249","458","-66"
"40","Apr 13, 2021 15:30:58.956942918 CEST","f2:42:89:7e:73:bd","1250","458","-67"
"41","Apr 13, 2021 15:30:58.977791519 CEST","3a:07:16:cb:a7:f4","1259","384","-80"
